language,languageLabel,statusLabel,native,ISO,countryLabel,IDH,coordinates,Population
http://www.wikidata.org/entity/Q8108,georgiano,1 nacional,3700000,kat,Georgia,0.754,Point(43.733330555 42.016669444),3717100
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Georgia,0.754,Point(43.733330555 42.016669444),3717100
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Malta,0.839,Point(14.5 35.883333333),465292
http://www.wikidata.org/entity/Q6654,croata,1 nacional,7000000,hrv,Montenegro,0.802,Point(19.216667 42.766667),622359
http://www.wikidata.org/entity/Q5885,tamil,2 provincial,8000000,tam,Sudáfrica,0.699,Point(24.0 -29.0),59622350
http://www.wikidata.org/entity/Q5885,tamil,2 provincial,8000000,tam,Singapur,0.932,Point(103.8 1.3),5888926
http://www.wikidata.org/entity/Q8108,georgiano,1 nacional,3700000,kat,Armenia,0.743,Point(44.95 40.383333),2930450
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Armenia,0.743,Point(44.95 40.383333),2930450
http://www.wikidata.org/entity/Q6654,croata,1 nacional,7000000,hrv,Serbia,0.771,Point(20.933333333 43.95),7022268
http://www.wikidata.org/entity/Q7918,búlgaro,1 nacional,9000000,bul,Serbia,0.771,Point(20.933333333 43.95),7022268
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Australia,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Argentina,0.825,Point(-64.0 -34.0),44938712
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,Timor Oriental,0.625,Point(125.75 -8.966667),1296311
http://www.wikidata.org/entity/Q1571,maratí,2 provincial,3000000,mar,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q5885,tamil,2 provincial,8000000,tam,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q8097,télugu,2 provincial,5000000,tel,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q8108,georgiano,1 nacional,3700000,kat,Irán,0.798,Point(53.0 32.0),79966230
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Irán,0.798,Point(53.0 32.0),79966230
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Líbano,0.757,Point(35.766667 33.833333),6100075
http://www.wikidata.org/entity/Q5885,tamil,2 provincial,8000000,tam,Malasia,0.802,Point(108.0 3.0),31624264
http://www.wikidata.org/entity/Q5885,tamil,2 provincial,8000000,tam,Sri Lanka,0.77,Point(81.0 7.0),21444000
http://www.wikidata.org/entity/Q8785,armenio,1 nacional,6700000,hye,Siria,0.536,Point(38.583333 35.216667),18499181
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,República de China,0.911,Point(121.0 24.0),23593794
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,Angola,0.581,Point(17.35 -12.35),29784193
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,Guinea-Bisáu,0.455,Point(-15.0 12.0),1861283
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,Cabo Verde,0.654,Point(-24.083333333 15.916666666),546388
http://www.wikidata.org/entity/Q5885,tamil,2 provincial,8000000,tam,Mauricio,0.79,Point(57.5 -20.2),1264613
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,Mozambique,0.437,Point(35.0 -19.0),29668834
http://www.wikidata.org/entity/Q5146,portugués,1 nacional,6300000,por,Santo Tomé y Príncipe,0.589,Point(6.6 0.316667),204327
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Samoa,0.713,Point(-172.0 -14.0),196440
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Samoa,0.713,Point(-172.0 -14.0),196440
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Islas Salomón,0.546,Point(159.816666666 -9.466666666),611343
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Islas Salomón,0.546,Point(159.816666666 -9.466666666),611343
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Vanuatu,0.603,Point(168.016669444 -16.633330555),276244
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Vanuatu,0.603,Point(168.016669444 -16.633330555),276244
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Papúa Nueva Guinea,0.555,Point(147.0 -6.3),8935000
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Papúa Nueva Guinea,0.555,Point(147.0 -6.3),8935000
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Palaos,0.798,Point(134.55 7.466667),21729
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Palaos,0.798,Point(134.55 7.466667),21729
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Estados Federados de Micronesia,0.627,Point(158.183333333 6.916666666),105544
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Estados Federados de Micronesia,0.627,Point(158.183333333 6.916666666),105544
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Islas Marshall,0.708,Point(171.066666666 7.116666666),53127
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Islas Marshall,0.708,Point(171.066666666 7.116666666),53127
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Kiribati,0.612,Point(173.033333333 1.466666666),119940
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Kiribati,0.612,Point(173.033333333 1.466666666),119940
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Fiyi,0.741,Point(178.0 -18.0),905502
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Fiyi,0.741,Point(178.0 -18.0),905502
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Guyana,0.654,Point(-59.316667 5.733333),777859
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Guyana,0.654,Point(-59.316667 5.733333),777859
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Trinidad y Tobago,0.784,Point(-61.516666666 10.666666666),1369125
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Trinidad y Tobago,0.784,Point(-61.516666666 10.666666666),1369125
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,San Vicente y las Granadinas,0.723,Point(-61.233333333 13.166666666),109897
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,San Vicente y las Granadinas,0.723,Point(-61.233333333 13.166666666),109897
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Santa Lucía,0.747,Point(-61.0 13.883333),178844
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Santa Lucía,0.747,Point(-61.0 13.883333),178844
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,San Cristóbal y Nieves,0.778,Point(-62.666667 17.33),55345
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,San Cristóbal y Nieves,0.778,Point(-62.666667 17.33),55345
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Jamaica,0.732,Point(-77.4 18.18),2890299
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Jamaica,0.732,Point(-77.4 18.18),2890299
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Granada,0.772,Point(-61.666667 12.116667),107825
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Granada,0.772,Point(-61.666667 12.116667),107825
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Bahamas,0.807,Point(-76.4 23.7),395361
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Bahamas,0.807,Point(-76.4 23.7),395361
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Antigua y Barbuda,0.78,Point(-61.85 17.116666666),102012
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Antigua y Barbuda,0.78,Point(-61.85 17.116666666),102012
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,379007140,eng,Dominica,0.715,Point(-61.333333 15.416667),73925
http://www.wikidata.org/entity/Q1860,inglés,1 nacional,753359540,eng,Dominica,0.715,Point(-61.333333 15.416667),73925
